,model,graph,option,f1_score_mean,f1_score_std
0,CCRNE,GBLP,debiased,0.4515110920714937,0.07053020376543279
1,CCRNE,GBLP,original,0.4556415161248317,0.05660572987467783
2,CCRNE,KNN,debiased,0.4515110920714937,0.07053020376543279
3,CCRNE,KNN,original,0.4556415161248317,0.05660572987467783
4,CCRNE,MST,debiased,0.4515110920714937,0.07053020376543279
5,CCRNE,MST,original,0.4556415161248317,0.05660572987467783
6,CCRNE,yake,debiased,0.4515110920714937,0.07053020376543279
7,CCRNE,yake,original,0.4556415161248317,0.05660572987467783
8,LP_PUL,GBLP,debiased,0.8355681401276142,0.006267209464196989
9,LP_PUL,GBLP,original,0.8331928364737818,0.005501545596296172
10,LP_PUL,KNN,debiased,0.7430958325464997,0.023208138623099058
11,LP_PUL,KNN,original,0.7782070880800043,0.011630804759336604
12,LP_PUL,MST,debiased,0.8306372654140283,0.01104680791301367
13,LP_PUL,MST,original,0.8338261180843268,0.007025641238968908
14,LP_PUL,yake,debiased,0.7488540876628561,0.02914141367793925
15,LP_PUL,yake,original,0.85466246450714,0.011152556934636852
16,MCLS,GBLP,debiased,0.8426783606868483,0.021739300327586652
17,MCLS,GBLP,original,0.810866700685499,0.026724559881784626
18,MCLS,KNN,debiased,0.8514140175122865,0.009037106962593097
19,MCLS,KNN,original,0.8085823157323342,0.01322772923084346
20,MCLS,MST,debiased,0.8465689838108931,0.016211689593040673
21,MCLS,MST,original,0.8119426536446991,0.0228404286105809
22,MCLS,yake,debiased,0.8455846203192137,0.013086323208713545
23,MCLS,yake,original,0.8045175386880421,0.021933860493789162
24,PSRB,GBLP,debiased,0.8405005785129278,0.039714196405160745
25,PSRB,GBLP,original,0.8370988159987697,0.008095119091762776
26,PSRB,KNN,debiased,0.8476520991066098,0.022091650147626526
27,PSRB,KNN,original,0.8384782330525065,0.01320689577800759
28,PSRB,MST,debiased,0.8569549519098398,0.01358934703664749
29,PSRB,MST,original,0.8481744056270321,0.012543647343088105
30,PSRB,yake,debiased,0.8522881546775928,0.008821903584665086
31,PSRB,yake,original,0.8334934608842426,0.02494666919996684
32,PU_LP,GBLP,debiased,0.5829672554900751,0.05417417815487174
33,PU_LP,GBLP,original,0.8163870405151539,0.023698549884453596
34,PU_LP,KNN,debiased,0.6941249924579305,0.08126201041298248
35,PU_LP,KNN,original,0.8625693057225128,0.01220222901881219
36,PU_LP,MST,debiased,0.8293887282162731,0.015570481415251117
37,PU_LP,MST,original,0.8298218200229938,0.02001617938028091
38,PU_LP,yake,debiased,0.8659712875216797,0.006582171689325144
39,PU_LP,yake,original,0.8558246814645907,0.013246250795497098
40,RCSVM,GBLP,debiased,0.37688127293995655,0.058444589657120835
41,RCSVM,GBLP,original,0.3990688592998426,0.034723918475377605
42,RCSVM,KNN,debiased,0.37688127293995655,0.058444589657120835
43,RCSVM,KNN,original,0.3990688592998426,0.034723918475377605
44,RCSVM,MST,debiased,0.37688127293995655,0.058444589657120835
45,RCSVM,MST,original,0.3990688592998426,0.034723918475377605
46,RCSVM,yake,debiased,0.37688127293995655,0.058444589657120835
47,RCSVM,yake,original,0.3990688592998426,0.034723918475377605
