,model,graph,option,f1_score_mean,f1_score_std
0,CCRNE,GBLP,debiased,0.526528693191503,0.07976079263113107
1,CCRNE,GBLP,original,0.4882446615076487,0.08916515889166952
2,CCRNE,KNN,debiased,0.526528693191503,0.07976079263113107
3,CCRNE,KNN,original,0.4882446615076487,0.08916515889166952
4,CCRNE,MST,debiased,0.526528693191503,0.07976079263113107
5,CCRNE,MST,original,0.4882446615076487,0.08916515889166952
6,CCRNE,yake,debiased,0.526528693191503,0.07976079263113107
7,CCRNE,yake,original,0.4882446615076487,0.08916515889166952
8,LP_PUL,GBLP,debiased,0.8026604673291617,0.02355697509063466
9,LP_PUL,GBLP,original,0.7236095614262625,0.025171302093166644
10,LP_PUL,KNN,debiased,0.633540052212482,0.0031700572640923205
11,LP_PUL,KNN,original,0.7124853868178463,0.015712996053567154
12,LP_PUL,MST,debiased,0.771151456583802,0.03667732842706453
13,LP_PUL,MST,original,0.7199956282807611,0.02610511621566639
14,LP_PUL,yake,debiased,0.7074684099354849,0.03147077892929604
15,LP_PUL,yake,original,0.8399101602949296,0.011477999235346748
16,MCLS,GBLP,debiased,0.8102302743650075,0.058378847094868125
17,MCLS,GBLP,original,0.7914149502034677,0.018028602482016754
18,MCLS,KNN,debiased,0.7963441685075587,0.0713336653550787
19,MCLS,KNN,original,0.7906043653583207,0.02083129674243503
20,MCLS,MST,debiased,0.8072744155806502,0.05054968782695129
21,MCLS,MST,original,0.7887601853955919,0.021969709202031385
22,MCLS,yake,debiased,0.8046459306130181,0.06290648715545653
23,MCLS,yake,original,0.79521818875938,0.022474288159482887
24,PSRB,GBLP,debiased,0.7796906167785693,0.07994896600634088
25,PSRB,GBLP,original,0.8297646053865895,0.019266091737989575
26,PSRB,KNN,debiased,0.8381320960760344,0.019523509665089353
27,PSRB,KNN,original,0.8094888442362276,0.03043712522554192
28,PSRB,MST,debiased,0.827082800223652,0.050446179303820914
29,PSRB,MST,original,0.832358660147482,0.012440940681226831
30,PSRB,yake,debiased,0.8425359786588802,0.015322433890898596
31,PSRB,yake,original,0.8119329200924049,0.022905166413788303
32,PU_LP,GBLP,debiased,0.5438041134089998,0.007904807766027417
33,PU_LP,GBLP,original,0.7689981421815999,0.03701913633369558
34,PU_LP,KNN,debiased,0.6405656440716941,0.022980348432495485
35,PU_LP,KNN,original,0.8585162921400142,0.01137874510063499
36,PU_LP,MST,debiased,0.7803251516598998,0.05240569218870116
37,PU_LP,MST,original,0.8365235088601418,0.01959186669791106
38,PU_LP,yake,debiased,0.8455986742213275,0.02385270282308137
39,PU_LP,yake,original,0.8522679644226103,0.01720451527455494
40,RCSVM,GBLP,debiased,0.4637461355074361,0.08721693441349844
41,RCSVM,GBLP,original,0.421151897961119,0.0649273304289166
42,RCSVM,KNN,debiased,0.4637461355074361,0.08721693441349844
43,RCSVM,KNN,original,0.421151897961119,0.0649273304289166
44,RCSVM,MST,debiased,0.4637461355074361,0.08721693441349844
45,RCSVM,MST,original,0.421151897961119,0.0649273304289166
46,RCSVM,yake,debiased,0.4637461355074361,0.08721693441349844
47,RCSVM,yake,original,0.421151897961119,0.0649273304289166
