,model,graph,option,f1_score_mean,f1_score_std
0,CCRNE,GBLP,debiased,0.514381848294881,0.0781606684757269
1,CCRNE,GBLP,original,0.44254078893496435,0.03662804198569745
2,CCRNE,KNN,debiased,0.514381848294881,0.0781606684757269
3,CCRNE,KNN,original,0.44254078893496435,0.03662804198569745
4,CCRNE,MST,debiased,0.514381848294881,0.0781606684757269
5,CCRNE,MST,original,0.44254078893496435,0.03662804198569745
6,CCRNE,yake,debiased,0.514381848294881,0.0781606684757269
7,CCRNE,yake,original,0.44254078893496435,0.03662804198569745
8,LP_PUL,GBLP,debiased,0.8402179386407876,0.00891683031153746
9,LP_PUL,GBLP,original,0.8291965727324465,0.009838398083233228
10,LP_PUL,KNN,debiased,0.749605335252571,0.029273509034356188
11,LP_PUL,KNN,original,0.7800465497439213,0.010402480715598253
12,LP_PUL,MST,debiased,0.8332289448022168,0.011931217847762663
13,LP_PUL,MST,original,0.8288028000226145,0.01002648291831411
14,LP_PUL,yake,debiased,0.742585640907971,0.03827596257908701
15,LP_PUL,yake,original,0.8541148087245883,0.013548451718827258
16,MCLS,GBLP,debiased,0.847081877905287,0.01737163112677441
17,MCLS,GBLP,original,0.798739741459565,0.02204924397026325
18,MCLS,KNN,debiased,0.8247166618415479,0.04100885014342997
19,MCLS,KNN,original,0.8061516397271367,0.02855506867359798
20,MCLS,MST,debiased,0.8516979769336416,0.011834355097162453
21,MCLS,MST,original,0.8086983794815433,0.029861557207032107
22,MCLS,yake,debiased,0.8468907520566308,0.01319394082524086
23,MCLS,yake,original,0.8059392853883385,0.02352025554639323
24,PSRB,GBLP,debiased,0.858279991439224,0.01664941935298448
25,PSRB,GBLP,original,0.8320961921714431,0.02623658415785537
26,PSRB,KNN,debiased,0.8641541467242897,0.017099232548556113
27,PSRB,KNN,original,0.8173762219847627,0.020532139302505033
28,PSRB,MST,debiased,0.8626870548885277,0.008831743396938643
29,PSRB,MST,original,0.8409283058729049,0.013359016644303874
30,PSRB,yake,debiased,0.8544200957221394,0.009916294883833906
31,PSRB,yake,original,0.8160395489352317,0.027249762075487696
32,PU_LP,GBLP,debiased,0.591923905987968,0.06819018819256481
33,PU_LP,GBLP,original,0.8216871430228256,0.023611782570816444
34,PU_LP,KNN,debiased,0.762094582796443,0.04201209614302023
35,PU_LP,KNN,original,0.8613554472564049,0.011389431596870794
36,PU_LP,MST,debiased,0.8138528232241302,0.02899110905549634
37,PU_LP,MST,original,0.8491599380928913,0.014099884423047852
38,PU_LP,yake,debiased,0.8672144637686714,0.010008485881353562
39,PU_LP,yake,original,0.8614362504921458,0.012480752940354499
40,RCSVM,GBLP,debiased,0.3780518612637483,0.0616304239575223
41,RCSVM,GBLP,original,0.37753854807630205,0.0425052977234533
42,RCSVM,KNN,debiased,0.3780518612637483,0.0616304239575223
43,RCSVM,KNN,original,0.37753854807630205,0.0425052977234533
44,RCSVM,MST,debiased,0.3780518612637483,0.0616304239575223
45,RCSVM,MST,original,0.37753854807630205,0.0425052977234533
46,RCSVM,yake,debiased,0.3780518612637483,0.0616304239575223
47,RCSVM,yake,original,0.37753854807630205,0.0425052977234533
