	Model Answer	news	label
0	O marido de Marina Silva (Rede), Fábio Vaz de Lima, foi acusado por suposto envolvimento na doação irregular de seis mil toras de mogno apreendidas pelo Ibama para uma ONG.	" #Verificamos: Não há provas de que marido de Marina esteve envolvido com desmatamento na AmazôniaMPF investigou Fábio Vaz de Lima por comércio ilegal de madeira, mas processo foi arquivado em 2013Circula nas redes sociais a ""notícia"" de que o marido da ex-ministra Marina Silva (Rede), Fábio Vaz de Lima, é um dos ""maiores desmatadores"" da Amazônia. Por meio do projeto de verificação de notícias, alguns dos usuários do Facebook solicitaram que essa informação fosse verificada. Confira a seguir a análise da Lupa:""6 mil toras de mogno apreendidas, valor de R$ 8 milhões. Um dos maiores desmatadores da Amazônia é o marido da Marina!""Texto que acompanha imagem (aqui e aqui) e que juntos já tinham mais de 150 compartilhamentos às 17h30 do dia 9 de novembro de 2018FALSOO marido de Marina Silva (Rede), Fábio Vaz de Lima, foi acusado por suposto envolvimento na doação irregular de seis mil toras de mogno apreendidas pelo Ibama para uma ONG. Entretanto, em 2013, o Ministério Público Federal (MPF) entendeu que não havia ""um único elemento"" que pudesse conferir ""foros de verossimilhança"" à acusação. Em 2004, o Tribunal de Contas da União averiguou a doação de seis mil toras de madeira clandestina que foram apreendidas na Amazônia. Essa contribuição seria do Ibama para a ONG Fase - Federação de Órgãos para Assistência Social e Educacional. À época, Marina era ministra do Meio Ambiente. Lima, é um dos fundadores do grupo Grupo de Trabalho Amazônico (GTA), que tem ligação com a ONG Fase. Contudo, como mesmo informa a investigação do Ministério Público Federal sobre o caso, ele já estava afastado do GTA quatro anos antes de sua mulher assumir o ministério. Em maio 2011, o caso voltou à tona. O então deputado federal Aldo Rebelo (PCdoB, hoje no SD) acusou o marido de Marina de fraudar ""contrabando de madeira"" em uma sessão no plenário da Câmara dos Deputados, durante a votação do Código Florestal.No dia seguinte às acusações de Rebelo, a ex-ministra informou que iria pedir que o MPF investigasse ela e seu marido para desmentir as acusações feitas por Rebelo. Na época, o próprio deputado afirmou que estava ""arrependido"" pela sua fala na Câmara. O MPF arquivou o caso em 2013, dois anos depois do início das investigações. Durante as eleições de 2014, quando Marina tentou concorrer ao cargo de presidente da República, essa informação ressurgiu nas redes. Na época, o site Boatos.org desmentiu o texto. Contudo, em 2018, quando a ex-ministra concorreu novamente à Presidência da República, esse boato voltou a circular. A informação foi desmentida novamente, dessa vez pelo projeto Comprova.*Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Chico Marés e Clara Becker"	1
1	As publicações analisadas fazem parecer que a informação falsa consta no site da Secretaria Especial de Desenvolvimento Social, que recebeu as atribuições do extinto Ministério de Desenvolvimento Social.	"Não é verdade que 520 mil usuários saíram do Bolsa Família por medo de auditoria de BolsonaroNão é verdade que 520 mil usuários saíram do Bolsa Família por medo de auditoria de BolsonaroTwitterFacebookE-mail<a href=""#"" data-text=*Não é verdade que 520 mil usuários saíram do Bolsa Família por medo de auditoria de Bolsonaro*https://aosfatos.org/noticias/nao-e-verdade-que-520-mil-usuarios-sairam-do-bolsa-familia-por-medo-de-auditoria-de-bolsonaro/Uma montagem que está circulando nas redes sociais engana ao sustentar que 520 mil usuários desligaram-se do Bolsa Família após o presidente Jair Bolsonaro (PSL) prometer uma auditoria no programa de transferência de renda. Esse número, na verdade, corresponde ao número de famílias que deixaram voluntariamente de receber o benefício desde 2003. As publicações analisadas fazem parecer que a informação falsa consta no site da Secretaria Especial de Desenvolvimento Social, que recebeu as atribuições do extinto Ministério de Desenvolvimento Social.Como os dados de desligamento do Bolsa Família só são divulgados no fim de cada mês, não é possível saber ainda quantos beneficiários saíram do programa desde que o novo governo assumiu, na semana passada.A publicação foi marcada com o selo FALSO na ferramenta de verificação do Facebook (entenda como funciona). O conteúdo foi postado inicialmente pela página Curitiba Contra a Corrupção, onde já tem mais de 2.500 compartilhamentos, mas também se espalhou pelo WhatsApp, e leitores do Aos Fatos a enviaram como sugestão de checagem. Para participar, mande mensagem para (21) 99956-5882.FALSO_""Governo Bolsonaro em 7 dias de governo tira meio milhão de pessoas da pobreza: medo da auditoria causa debandada de beneficiários do Bolsa Família""_As características da imagem publicada com o post já permitem verificar que se trata de uma montagem. Por exemplo, o título ""520 mil e 148 pessoas solicitaram o desligamento voluntário em todo país"" não tem a mesma fonte que os outros enunciados da página. Ao acessar a página do Ministério da Cidadania, é possível constatar que a informação foi simplesmente colada por cima de um print da tela. Veja abaixo:Na realidade, uma propaganda do então Ministério do Desenvolvimento Social (extinto no último dia 1º) de dia 26 de dezembro do ano passado anuncia que, desde 2"	1
2	Autoridades de SP desmentem alertas sobre ataques do PCC no fim de semana	"Autoridades de SP desmentem alertas sobre ataques do PCC no fim de semanaAutoridades de SP desmentem alertas sobre ataques do PCC no fim de semanaTwitterFacebookE-mailWhatsAppAutoridades de SP desmentem alertas sobre ataques do PCC no fim de semanaPor Luiz Fernando Menezes 15 de fevereiro de 2019, 17h31TwitterFacebookEmailWhatsAppA Secretaria de Segurança Pública de São Paulo desmentiu na tarde desta sexta-feira (15) o conteúdo de mensagens e áudios que circulam nas redes sociais alertando para possíveis ataques do PCC (Primeiro Comando da Capital) neste fim de semana, em razão da transferência de líderes da facção criminosa para presídios federais. Promotor do Ministério Público paulista que investiga a organização, Lincoln Gakiya também negou a possibilidade de atentados, assim como o governador João Doria (PSDB).Diversas mensagens e áudios que fazem o alerta foram enviados por leitores do Aos Fatos no WhatsApp como sugestão de checagem (veja como participar). Publicações com o mesmo conteúdo enganoso também foram marcadas com o selo FALSO na ferramenta de verificação do Facebook. No Twitter, usuários também solicitaram uma checagem a respeito dessas mensagens.FALSOO comunicado abaixo [sobre possível retaliação do PCC na cidade de São Paulo no final de semana] é do comandante geral da PM para as unidades: companhias, batalhões e etc.....Viemos através deste comunicar a população do estado de São Paulo que estaremos em guerra contra a opressão do governo com nosso irmão Marcola, não iremos aceitar a transferência do nosso irmão, vamos tocar fogo no estado, nossa guerra será contra a mídia, a polícia e governo, não fica moscando na rua pra você não ser estatística!! Vamos reivindicar o direito do nosso irmão Marcola, não é justo essa opressão, de transferência do nosso líder! Sábado a partir das 21h é guerra, atenção população!Uma série de mensagens de texto e áudios começaram a circular na tarde desta sexta-feira (15) nas redes sociais alertando para possíveis ataques do PCC em São Paulo no fim de semana.Entre os conteúdos há desde a gravação supostamente feita por uma policial até um comunicado que diz ser emitido pela facção criminosa. Em comum, todos eles dizem que a retaliação seria por conta da transferência de líderes da organização para presídios federais. As informações são falsas, de acordo com a SSP-SP (Secretaria de Segurança Pública de São Paulo).Em nota, o órgão negou que haja quaisquer indícios da iminência de ações criminosas do PCC:Circulam por intermédio dos canais eletrônicos de mídia social diversas mensagens de áudio e texto sobre o cenário da segurança pública no Estado de São Paulo em função da transferência de presos do Sistema Penitenciário estadual para unidades prisionais do Departamento Penitenciário Nacional, realizada no último dia 13/02/19.Em relação ao exposto, até o momento, não há quaisquer elementos concretos que indiquem a iminência da eclosão de ações criminosas contra o poder público ou seus agentes, em especial os integrantes das forças de segurança pública, como forma de retaliação a serem praticadas por indivíduos ligados aos presos recém transferidos.As medidas adotadas pelo Comando da Polícia Militar de orientação ao efetivo sobre reforço nas medidas de segurança e, especialmente, as ações de ordem operacional são de caráter eminentemente preventivo e objetivam potencializar a sensação de segurança na sociedade.O promotor Lincoln Gakiya, do Gaeco (Grupo de Ação e Combate ao Crime Organizado) do MP-SP (Ministério Público de São Paulo) também negou os conteúdos das mensagens que circulam nas redes sociais. Ao Buzzfeed, ele, que investiga o PCC há dez anos, disse: ""é tudo fake, não tem procedência nenhuma. Estamos desmentindo isso. Estamos monitorando o PCC, com o comando das polícias, tanto no sistema prisional como nas ruas e isso não procede"".Já o governador de São Paulo, João Doria (PSDB), classificou como ""notícia falsa"" as mensagens que circulam nas redes sociais. Segundo o tucano, as gravações citadas em algumas das mensagens já haviam sido interceptadas pelo governo estadual.Em 2006, também na capital paulista, vários atentados - estima-se mais de 200 - do PCC resultaram na morte de mais de 90 pessoas. Os ataques ocorreram após a transferência do líder Marcos William Herbas Camacho, o Marcola, no dia 11 de maio.TwitterFacebookEmailWhatsAppLeia tambémCinco fatos sobre migraçãoNão é verdade que Moro afastou promotor do caso Queiroz e delegado que investiga morte de MarielleHomem em foto com Flávio Bolsonaro é assessor do senador, não acusado de matar Marielle]"	1
3	A foto analisada pela Lupa não é de um edifício da USP, mas do Edifício Elisa, na rua Teodoro Sampaio, em São Paulo - próximo ao Largo da Batatá. A foto foi feita pelo fotógrafo Douglas Nascimento e publicada, em 2010, no blog São Paulo Abandonada - hoje rebatizado São Paulo Antiga.	" #Verificamos: Não foi feita na USP foto de prédio pichado que viraliza nas redesImagem feita em 2010 mostra Edifício Elisa, que fica no Largo da Batata e foi restaurado recentementeCircula nas redes sociais a foto de um prédio pichado, acompanhado de uma legenda que ""informa"" se tratar da Universidade de São Paulo (USP). Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""Não é um prédio numa favela. É a USP""Imagem que até as 17h do dia 13 de fevereiro de 2019 já tinha sido compartilhada 5 mil vezes no FacebookFALSOA foto analisada pela Lupa não é de um edifício da USP, mas do Edifício Elisa, na rua Teodoro Sampaio, em São Paulo - próximo ao Largo da Batata. A foto foi feita pelo fotógrafo Douglas Nascimento e publicada, em 2010, no blog São Paulo Abandonada - hoje rebatizado São Paulo Antiga.É possível encontrar este mesmo prédio no Google Street View e ver que as pichações foram apagadas. O registro da imagem é de 2017.Esta informação também foi verificada pelo site Aos Fatos.Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Cristina Tardáguila e Natália Leal"	1
4	O cantor Pablo Vittar fechou um contrato de 5 anos com a Globo para apresentar o programa TV Criança Gay.	" #Verificamos: É falso que Pabllo Vittar apresentará programa infantil na TV GloboEmissora negou que a cantora terá quadro próprio em sua programação  Circula nas redes sociais que a cantora Pabllo Vittar teria fechado um contrato de cinco anos com a TV Globo para apresentar o programa TV Criança Gay. O quadro substituiria o atual programa de Fátima Bernardes e exibiria ""conteúdos sexuais, homossexuais e sobre ideologia de gênero"" para o público infantil. Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""Isso mesmo, o cantor Pabllo Vittar fechou um contrato de 5 anos com a Globo para apresentar o programa TV Criança Gay""Publicação que, até as 18h do dia 29 de março de 2019, tinha sido compartilhada ao menos uma centena de vezes no FacebookFALSOA informação verificada pela Lupa é falsa. Procurada, a assessoria de imprensa da TV Globo informou que se trata de ""fake news. E uma antiga"". De fato, o boato circula no Facebook desde abril do ano passado. Em novembro de 2017, o site e-farsas chegou a publicar checagem semelhante. À época, no entanto, o programa se chamaria Pabllo Kids _ e não TV Criança Gay _ e seria uma versão atual do antigo ""Xou da Xuxa"". Já na versão que se espalhou em 2019, é dito que ""o objetivo do programa é induzir as crianças a praticarem o homossexualismo de forma indiscriminada, mesmo que não sejam homossexuais"". Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Natália Leal"	1
5	É #FAKE que vídeo com desfile de militares é ensaio para posse de Bolsonaro	"""É #FAKE que vídeo com desfile de militares é ensaio para posse de Bolsonaro""Imagens são de formatura de soldados da Polícia Militar de Minas Gerais. Um vídeo com a apresentação de um desfile militar circula em redes sociais como se fosse o ensaio para a posse do presidente eleito Jair Bolsonaro em 1° de janeiro de 2019. O vídeo, na verdade, retrata a formatura de policiais em Minas Gerais. A mensagem que circula atribuindo as imagens a um ensaio, portanto, é #FAKE.A performance militar mostrada no vídeo é, na verdade, a cerimônia de formatura de soldados da Polícia Militar de Minas Gerais. A informação foi confirmada pela assessoria da corporação. O vídeo foi publicado em 13 de abril de 2018.""Ensaio para a posse de Bolsonaro como presidente do Brasil em 1° de Janeiro de 2019"", diz o título do vídeo que circula no Youtube desde 15 de novembro, com mais de 15 mil visualizações.Embora sem áudio e com filmagens a partir de ângulos diferentes, os dois vídeos mostram o mesmo evento, como comprovam detalhes como as cores e disposições das bandeiras nas laterais do palco, os dois telões dispostos sobre essas bandeiras, a disposição e a forma dos soldados perfilados e a disposição das placas de publicidade do espaço do ginásio. "	1
6	Dilma não participou de atentado que matou soldado em 1968	"Dilma não participou de atentado que matou soldado em 1968Dilma não participou de atentado que matou soldado em 1968TwitterFacebookE-mailWhatsAppDilma não participou de atentado que matou soldado em 1968Por Luiz Fernando Menezes 6 de novembro de 2018, 15h00TwitterFacebookEmailWhatsAppA ex-presidente Dilma Rousseff (PT) não participou do atentado a um quartel do Exército em São Paulo em junho de 1968, e que resultou na morte do soldado Mário Kozel Filho. Ao contrário do que afirma montagem que circula nas redes sociais desde sábado (3), a petista não integrava, na época, a VPR (Vanguarda Popular Revolucionária), organização responsável por lançar um carro-bomba contra a unidade militar. Ela também não aparece na lista de militantes da organização acusados de participarem da ação, conforme livro editado por militares após o fim da ditadura.Na verdade, em 1968, a petista fazia parte do Colina (Comando de Libertação Nacional), organização que, em 1969, viria a se fundir com a VPR para formar a VAR-Palmares (Vanguarda Armada Revolucionária - Palmares). Apesar de militar em organizações de extrema-esquerda durante a ditadura, não há evidências da participação de Dilma nas ações armadas promovidas por esses grupos.Não é a primeira vez que boatos tentam vincular a ex-presidente com a morte do soldado Kozel Filho. Em 2010, quando Dilma assumiu a Presidência da República, a mesma história falsa foi veiculada por sites como o Homem Culto. Agora, a montagem que reciclou as informações enganosas já acumula mais de 1.500 compartilhamentos no Facebook. O conteúdo foi denunciado por usuários daquela rede social e classificado por Aos Fatos como FALSO na ferramenta de verificação (entenda como funciona). FALSOSeu professor de História contou que a Dilma me matou?O soldado Mário Kozel Filho morreu em um atentado ao Quartel General do II Exército, na cidade de São Paulo, em 26 de junho de 1968. Militantes da VPR (Vanguarda Popular Revolucionária) jogaram um carro-bomba com 20 quilos de dinamite contra o QG. Além de matar Kozel, a explosão deixou outros seis militares feridos.Dilma não integrava a VPR na época do ataque, mas outra organização - Colina (Comando de Libertação Nacional). Esta organização era formada por estudantes universitários em oposição ao regime militar e defendia a ação armada como meio para libertar o Brasil da ""opressão e da ditadura"" e, numa etapa posterior, criar o partido revolucionário da classe operária.Em 1969, Colina e VPR fundiram-se, criando, então, a VAR-Palmares (Vanguarda Armada Revolucionária - Palmares). O grupo foi responsável por algumas ações, como a do roubo ao cofre do ex-governador Adhemar Barros em 1969, caso que não contou com a participação de Dilma.Apesar de engajada na política estudantil e na produção e distribuição de jornais tidos como material subversivo, a ex-presidente não fez parte das ações militares dos grupos extremistas de esquerda que integrou, como informa biografia da petista no CPDOC-FGV e relatos de outros ex-militantes do Colina e companheiros de cela ao UOL.Escrito pelos militares Agnaldo del Nero, José Conegundes do Nascimento e Lício Maciel após o fim da ditadura, o livro ""As tentativas de tomada do poder"" busca detalhar as ações criminosas cometidas por grupos guerrilheiros de esquerda durante o regime militar. No trecho dedicado ao caso Mário Kozel, a obra lista como planejadores e executores do atentado os integrantes da VPR Waldir Carlos Sarapu, Wilson Egídio Fava, Onofre Pinto, Diógenes José de Carvalho Oliveira, José Araújo Nóbrega, Osvaldo Antônio dos Santos, Dulce de Souza Maia, Renata Ferraz Guerra de Andrade, José Ronaldo Tavares de Lira e Silva, e também Eduardo Collen Leite, que seria integrante da REDE (Resistência Democrática), outro grupo guerrilheiro. Não há qualquer menção a Dilma Rousseff.Essa lista de nomes, inclusive, já foi citada pelo presidente eleito Jair Bolsonaro (PSL), em um projeto de lei para incluir o nome de Mário Kozel ao Livro dos Heróis da Pátria. Nesse caso, o nome da ex-presidente também não foi citado entre os autores do ataque. TwitterFacebookEmailWhatsAppLeia tambémCinco fatos sobre migraçãoNão é verdade que Moro afastou promotor do caso Queiroz e delegado que investiga morte de MarielleHomem em foto com Flávio Bolsonaro é assessor do senador, não acusado de matar Marielle]"	1
7	Erros e acerços sobre educação nos planos de governo dos presidenciáveis	"Erros e acertos sobre educação nos planos de governo dos presidenciáveisErros e acertos sobre educação nos planos de governo dos presidenciáveisTwitterFacebookE-mail<a href="""" data-text=*Erros e acertos sobre educação nos planos de governo dos presidenciáveis*https://aosfatos.org/noticias/erros-e-acertos-sobre-educacao-nos-planos-de-governo-dos-presidenciaveis/São muitas e diversas as informações sobre educação que os candidatos à Presidência da República trazem dentre as propostas de seus planos de governo nestas eleições. Mas, no meio de tantos indicadores e dados, como saber o que é verdade e o que não é?Em parceria com a Nova Escola, Aos Fatos checou o que dizem sobre educação os planos das candidaturas mais bem posicionadas nas últimas pesquisas eleitorais: Jair Bolsonaro (PSL), Ciro Gomes (PDT), Marina Silva (Rede) e a do PT - cujo cabeça de chapa, o ex-presidente Luiz Inácio Lula da Silva, foi declarado inelegível pelo TSE (Tribunal Superior Eleitoral). Já os programas de Geraldo Alckmin (PSDB) e Alvaro Dias (Podemos) não tinham informações sobre o tema que fossem passíveis de checagem.FALSO_""Aproximadamente 25% dos professores que atuam na educação básica não possuem licenciatura específica para as disciplinas que lecionam. - programa da chapa do PT""_O plano de governo da coligação O Povo Feliz de Novo (PT / PC do B / Pros) confunde o número de professores que não têm licenciatura com aqueles que não têm licenciatura especificamente na área em que lecionam. Segundo o Censo Escolar 2017, dos 2,2 milhões de professores no Brasil, 25,9% não têm licenciatura (têm bacharelado, superior em andamento, magistério, ensino médio completo ou apenas o ensino fundamental). Esse número é diferente, no entanto, do Indicador de Adequação da Formação do Docente, a qual o programa deveria se referir, que classifica o professor segundo a adequação de sua formação à disciplina que ele leciona na educação básica. Esse indicador não é único para toda a educação básica, há uma porcentagem para cada etapa de ensino. Como a candidatura do PT utiliza os dados errados no plano de governo, a informação recebeu o selo de FALSA.O Indicador de Adequação da Formação de Docente é medido por etapa - na educação infantil, no ensino fundamental, no ensino médio e também na educação de jovens e adultos, a EJA. Não há um indicador único, como confirmado pelo próprio Inep. Segundo os dados do Censo Escolar 2017, os indicadores são os seguintes: na educação infantil, 18,6% dos professores têm formação superior de licenciatura (ou bacharelado com complementação pedagógica) em área diferente daquela que leciona; no ensino fundamental são 18,7%; e no ensino médio são 23,6%. No EJA, são 39,2% no ensino fundamental e 29,9% no ensino médio.A chapa petista citou a informação para defender a criação de uma política nacional de valorização e qualificação doce"	1
8	As obras do Exército na BR-163 foram iniciadas em setembro de 2017, ainda no governo Temer.	" #Verificamos: É falso que recuperação da BR-163 tenha começado no governo BolsonaroExército atua na pavimentação e reforma da estrada, no Pará, desde setembro de 2017, ainda no governo TemerCircula nas redes sociais uma montagem que mostra o antes e depois de uma ação do Exército para recuperar um trecho localizado no Pará da BR-163, rodovia que começa em Tenente Portela (RS) e chega até Santarém (PA), passando pelo porto de Mirituba. Legendas ""informam"" que a obra foi feita durante o governo do presidente Jair Bolsonaro (PSL). Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""BR-163 Pará - Antes. BR-163 Pará - Agora. São apenas 49 dias do governo Bolsonaro!!!""Legenda de imagem que, até as 14h30 do dia 25 de fevereiro de 2019, tinha sido compartilhada mais de 1,5 mil vezes no Facebook.FALSOAs obras do Exército na BR-163 foram iniciadas em setembro de 2017, ainda no governo de Michel Temer (MDB), e não depois que Jair Bolsonaro assumiu a presidência, em janeiro de 2019. A informação verificada pela Lupa, que consta na legenda da publicação, é, portanto, falsa.A BR-163 é usada para escoamento da produção agrícola do Mato Grosso, mas ainda conta com trechos sem asfalto. O Departamento Nacional de Infraestrutura de Transportes (Dnit) fechou convênio com o Exército para pavimentar 65 quilômetros da rodovia, com previsão de entrega em fevereiro de 2020. De acordo com o boletim diário mais recente sobre a estrada, publicado pelo Dnit em 25 de fevereiro de 2019, as obras do Exército estão em estágio avançado, mas ainda não foram concluídas: ""Houve grandes avanços com a eliminação dos principais pontos de gargalos na trafegabilidade, que são as serras da Anita e de Moraes. Por ter uma rampa muito íngreme para vencer as serras, e por estar em revestimento primário, estes trechos são constantes alvos de bloqueios neste período pelo tráfego pesado de carga. O rebaixamento de ambas as serras já foi 100% concluído, restando apenas serviços de drenagem profunda e superficial e posteriormente sua pavimentação"".Essa checagem foi feita anteriormente pelos sites Aos Fatos, Boatos.org e Estadão Verifica.Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Natália Leal"	1
9	Não há mais vagas em hotéis em Brasília para a posse de Bolsonaro.	" #Verificamos: É falso que não há mais vagas nos hotéis de Brasília para a posse de BolsonaroSegundo o setor, capital do país está com 50% de sua capacidade preenchida para o dia 1 de janeiro de 2019Circula nas redes sociais a ""informação"" de que os hotéis de Brasília já estariam todos lotados para a posse do presidente eleito, Jair Bolsonaro (PSL), que acontece no dia 1 de janeiro de 2019. Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""Não há mais vagas em hotéis em Brasília para a posse do presidente""Frase que consta em imagens (aqui e aqui) que circulam na internet e que, até as 16h do dia 26 de novembro de 2018, já tinham sido compartilhadas mais de 32 mil vezes no FacebookFALSODe acordo com a Pesquisa de Serviços de Hospedagem do IBGE publicada em 2017, Brasília tem 279 estabelecimentos de hospedagem e um total de 39.424 leitos. Na tarde de 26 de novembro de 2018, a metade deles ainda estava vaga para o dia 1 de janeiro de 2019, quando o presidente eleito, Jair Bolsonaro, tomará posse. A informação foi repassada à Lupa pela Associação Brasileira da Indústria de Hotéis do Distrito Federal (ABIH-DF). De acordo com a entidade, nesta segunda-feira, Brasília ainda tinha 50% de disponibilidade na data em questão. Os hotéis situados no Lago Sul eram os mais perto de sua capacidade máxima, enquanto os da zona central ainda tinham muitas vagas em aberto. A presidente da ABIH-DF, Adriana Pinto, ressaltou que considerava o desempenho animador. ""As expectativas são animadoras, porque nessa época do ano a procura é muito baixa e esse ano, com a mudança de governo, estamos recebendo muitas reservas"". Ela esclarece ainda que há vagas em hotéis econômicos, médios e de alto padrão para quem quiser comparecer à posse. Uma rápida busca em sites como o booking.com também mostrava uma boa oferta de vagas ainda disponíveis na tarde de 26 de novembro. Por ora, ao contrário do alardeado nas redes sociais não está confirmada a necessidade de acampar ou buscar hotéis em cidades vizinhas à capital federal. *Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Cristina Tardáguila"	1
